region,age,density
Western Europe,12.21279,0.0
Western Europe,12.1978,0.0
Western Europe,12.18282,0.0
Western Europe,12.16783,0.0
Western Europe,12.15285,0.0
Western Europe,12.13786,0.0
Western Europe,12.12288,0.0
Western Europe,12.10789,0.0
Western Europe,12.09291,0.0
Western Europe,12.07792,0.0
Western Europe,12.06294,0.0
Western Europe,12.04795,0.0
Western Europe,12.03297,0.0
Western Europe,12.01798,0.0
Western Europe,12.003,0.0
Western Europe,11.98801,0.0
Western Europe,11.97303,0.0
Western Europe,11.95804,0.0
Western Europe,11.94306,0.0
Western Europe,11.92807,0.0
Western Europe,11.91309,0.0
Western Europe,11.8981,0.0
Western Europe,11.88312,0.0
Western Europe,11.86813,0.0
Western Europe,11.85315,0.0
Western Europe,11.83816,0.0
Western Europe,11.82318,0.0
Western Europe,11.80819,0.0
Western Europe,11.79321,0.0
Western Europe,11.77822,0.0
Western Europe,11.76324,0.0
Western Europe,11.74825,0.0
Western Europe,11.73327,0.0
Western Europe,11.71828,0.0
Western Europe,11.7033,0.0
Western Europe,11.68831,0.0
Western Europe,11.67333,0.0
Western Europe,11.65834,0.0
Western Europe,11.64336,0.0
Western Europe,11.62837,0.0
Western Europe,11.61339,0.0
Western Europe,11.5984,0.0
Western Europe,11.58342,0.0
Western Europe,11.56843,0.0
Western Europe,11.55345,0.0
Western Europe,11.53846,0.0
Western Europe,11.52348,0.0
Western Europe,11.50849,0.0
Western Europe,11.49351,0.0
Western Europe,11.47852,0.0
Western Europe,11.46354,0.0
Western Europe,11.44855,0.0
Western Europe,11.43357,0.0
Western Europe,11.41858,0.0
Western Europe,11.4036,0.0
Western Europe,11.38861,0.0
Western Europe,11.37363,0.0
Western Europe,11.35864,0.0
Western Europe,11.34366,0.0
Western Europe,11.32867,0.0
Western Europe,11.31369,0.0
Western Europe,11.2987,0.0
Western Europe,11.28372,0.0
Western Europe,11.26873,0.0
Western Europe,11.25375,0.0
Western Europe,11.23876,0.0
Western Europe,11.22378,0.0
Western Europe,11.20879,0.0
Western Europe,11.19381,0.0
Western Europe,11.17882,0.0
Western Europe,11.16384,0.0
Western Europe,11.14885,0.0
Western Europe,11.13387,0.0
Western Europe,11.11888,0.0
Western Europe,11.1039,0.0
Western Europe,11.08891,0.0
Western Europe,11.07393,0.0
Western Europe,11.05894,0.0
Western Europe,11.04396,0.0
Western Europe,11.02897,0.0
Western Europe,11.01399,0.0
Western Europe,10.999,0.0
Western Europe,10.98402,0.0
Western Europe,10.96903,0.0
Western Europe,10.95405,0.0
Western Europe,10.93906,0.0
Western Europe,10.92408,0.0
Western Europe,10.90909,0.0
Western Europe,10.89411,0.0
Western Europe,10.87912,0.0
Western Europe,10.86414,0.0
Western Europe,10.84915,0.0
Western Europe,10.83417,0.0
Western Europe,10.81918,0.0
Western Europe,10.8042,0.0
Western Europe,10.78921,0.0
Western Europe,10.77423,0.0
Western Europe,10.75924,0.0
Western Europe,10.74426,0.0
Western Europe,10.72927,0.0
Western Europe,10.71429,0.0
Western Europe,10.6993,0.0
Western Europe,10.68432,0.0
Western Europe,10.66933,0.0
Western Europe,10.65435,0.0
Western Europe,10.63936,0.0
Western Europe,10.62438,0.0
Western Europe,10.60939,0.0
Western Europe,10.59441,0.0
Western Europe,10.57942,0.0
Western Europe,10.56444,0.0
Western Europe,10.54945,0.0
Western Europe,10.53447,0.0
Western Europe,10.51948,0.0
Western Europe,10.5045,0.0
Western Europe,10.48951,0.0
Western Europe,10.47453,0.0
Western Europe,10.45954,0.0
Western Europe,10.44456,0.0
Western Europe,10.42957,0.0
Western Europe,10.41459,0.0
Western Europe,10.3996,0.0
Western Europe,10.38462,0.0
Western Europe,10.36963,0.0
Western Europe,10.35465,0.0
Western Europe,10.33966,0.0
Western Europe,10.32468,0.0
Western Europe,10.30969,0.0
Western Europe,10.29471,0.0
Western Europe,10.27972,0.0
Western Europe,10.26474,0.0
Western Europe,10.24975,0.0
Western Europe,10.23477,0.0
Western Europe,10.21978,0.0
Western Europe,10.2048,0.0
Western Europe,10.18981,0.0
Western Europe,10.17483,0.0
Western Europe,10.15984,0.0
Western Europe,10.14486,0.0
Western Europe,10.12987,0.0
Western Europe,10.11489,0.0
Western Europe,10.0999,0.0
Western Europe,10.08492,0.0
Western Europe,10.06993,0.0
Western Europe,10.05495,0.0
Western Europe,10.03996,0.0
Western Europe,10.02498,0.0
Western Europe,10.00999,0.0
Western Europe,9.995,0.0
Western Europe,9.98002,0.0
Western Europe,9.96503,0.0
Western Europe,9.95005,0.0
Western Europe,9.93506,0.0
Western Europe,9.92008,0.0
Western Europe,9.90509,0.0
Western Europe,9.89011,0.0
Western Europe,9.87512,0.0
Western Europe,9.86014,0.0
Western Europe,9.84515,0.0
Western Europe,9.83017,0.0
Western Europe,9.81518,0.0
Western Europe,9.8002,0.0
Western Europe,9.78521,0.0
Western Europe,9.77023,0.0
Western Europe,9.75524,0.0
Western Europe,9.74026,0.0
Western Europe,9.72527,0.0
Western Europe,9.71029,0.0
Western Europe,9.6953,0.0
Western Europe,9.68032,0.0
Western Europe,9.66533,0.0
Western Europe,9.65035,0.0
Western Europe,9.63536,0.0
Western Europe,9.62038,0.0
Western Europe,9.60539,0.0
Western Europe,9.59041,0.0
Western Europe,9.57542,0.0
Western Europe,9.56044,0.0
Western Europe,9.54545,0.0
Western Europe,9.53047,0.0
Western Europe,9.51548,0.0
Western Europe,9.5005,0.0
Western Europe,9.48551,0.0
Western Europe,9.47053,0.0
Western Europe,9.45554,0.0
Western Europe,9.44056,0.0
Western Europe,9.42557,0.0
Western Europe,9.41059,0.0
Western Europe,9.3956,0.0
Western Europe,9.38062,0.0
Western Europe,9.36563,0.0
Western Europe,9.35065,0.0
Western Europe,9.33566,0.0
Western Europe,9.32068,0.0
Western Europe,9.30569,0.0
Western Europe,9.29071,0.0
Western Europe,9.27572,0.0
Western Europe,9.26074,0.0
Western Europe,9.24575,0.0
Western Europe,9.23077,0.0
Western Europe,9.21578,0.0
Western Europe,9.2008,0.0
Western Europe,9.18581,0.0
Western Europe,9.17083,0.0
Western Europe,9.15584,0.0
Western Europe,9.14086,0.0
Western Europe,9.12587,0.0
Western Europe,9.11089,0.0
Western Europe,9.0959,0.0
Western Europe,9.08092,0.0
Western Europe,9.06593,0.0
Western Europe,9.05095,0.0
Western Europe,9.03596,0.0
Western Europe,9.02098,0.0
Western Europe,9.00599,0.0
Western Europe,8.99101,0.0
Western Europe,8.97602,0.0
Western Europe,8.96104,0.0
Western Europe,8.94605,0.0
Western Europe,8.93107,0.0
Western Europe,8.91608,0.0
Western Europe,8.9011,0.0
Western Europe,8.88611,0.0
Western Europe,8.87113,0.0
Western Europe,8.85614,0.0
Western Europe,8.84116,0.0
Western Europe,8.82617,0.0
Western Europe,8.81119,0.0
Western Europe,8.7962,0.0
Western Europe,8.78122,0.0
Western Europe,8.76623,0.0
Western Europe,8.75125,0.0
Western Europe,8.73626,0.0
Western Europe,8.72128,0.0
Western Europe,8.70629,0.0
Western Europe,8.69131,0.0
Western Europe,8.67632,0.0
Western Europe,8.66134,0.0
Western Europe,8.64635,0.0
Western Europe,8.63137,0.0
Western Europe,8.61638,0.0
Western Europe,8.6014,0.0
Western Europe,8.58641,0.0
Western Europe,8.57143,0.0
Western Europe,8.55644,0.0
Western Europe,8.54146,0.0
Western Europe,8.52647,0.0
Western Europe,8.51149,0.0
Western Europe,8.4965,0.0
Western Europe,8.48152,0.0
Western Europe,8.46653,0.0
Western Europe,8.45155,0.0
Western Europe,8.43656,0.0
Western Europe,8.42158,0.0
Western Europe,8.40659,0.0
Western Europe,8.39161,0.0
Western Europe,8.37662,0.0
Western Europe,8.36164,0.0
Western Europe,8.34665,0.0
Western Europe,8.33167,0.0
Western Europe,8.31668,0.0
Western Europe,8.3017,0.0
Western Europe,8.28671,0.0
Western Europe,8.27173,0.0
Western Europe,8.25674,0.0
Western Europe,8.24176,0.0
Western Europe,8.22677,0.0
Western Europe,8.21179,0.0
Western Europe,8.1968,0.0
Western Europe,8.18182,0.0
Western Europe,8.16683,0.0
Western Europe,8.15185,0.0
Western Europe,8.13686,0.0
Western Europe,8.12188,0.0
Western Europe,8.10689,0.0
Western Europe,8.09191,0.0
Western Europe,8.07692,0.0
Western Europe,8.06194,0.0
Western Europe,8.04695,0.0
Western Europe,8.03197,0.0
Western Europe,8.01698,0.0
Western Europe,8.002,0.0
Western Europe,7.98701,0.0
Western Europe,7.97203,0.0
Western Europe,7.95704,0.0
Western Europe,7.94206,0.0
Western Europe,7.92707,0.0
Western Europe,7.91209,0.0
Western Europe,7.8971,0.0
Western Europe,7.88212,0.0
Western Europe,7.86713,0.0
Western Europe,7.85215,0.0
Western Europe,7.83716,0.0
Western Europe,7.82218,0.0
Western Europe,7.80719,0.0
Western Europe,7.79221,0.0
Western Europe,7.77722,0.0
Western Europe,7.76224,0.0
Western Europe,7.74725,0.0
Western Europe,7.73227,0.0
Western Europe,7.71728,0.0
Western Europe,7.7023,0.0
Western Europe,7.68731,0.0
Western Europe,7.67233,0.0
Western Europe,7.65734,0.0
Western Europe,7.64236,0.0
Western Europe,7.62737,0.0
Western Europe,7.61239,0.0
Western Europe,7.5974,0.0
Western Europe,7.58242,0.0
Western Europe,7.56743,0.0
Western Europe,7.55245,0.0
Western Europe,7.53746,0.0
Western Europe,7.52248,0.0
Western Europe,7.50749,0.0
Western Europe,7.49251,0.0
Western Europe,7.47752,0.0
Western Europe,7.46254,0.0
Western Europe,7.44755,0.0
