study,group,x,y
Puxi_cohort,IBD,0.35842044134727064,0.5426829268292683
Puxi_cohort,IBD,0.34871273712737133,0.5232384823848238
Puxi_cohort,IBD,0.3657487542617361,0.5046420141620771
Puxi_cohort,IBD,0.3288617886178862,0.49166666666666664
Puxi_cohort,IBD,0.3144505638604773,0.45413060582218717
Puxi_cohort,IBD,0.2961447678992919,0.4403881458169421
Puxi_cohort,IBD,0.3410256410256411,0.43727329580988117
Puxi_cohort,IBD,0.048098610018358225,0.404982953055337
Puxi_cohort,IBD,0.24157955865272937,0.40376306620209057
Puxi_cohort,IBD,0.2563685636856369,0.4012318305001232
Puxi_cohort,IBD,0.2285509325681492,0.3985174557627929
Puxi_cohort,IBD,0.27913279132791324,0.38926829268292684
Puxi_cohort,IBD,0.21520803443328554,0.37618364418938305
Puxi_cohort,IBD,0.15915250061591524,0.3743286523774329
Puxi_cohort,IBD,0.03470383275261326,0.35986062717770034
Puxi_cohort,IBD,0.2391973706971112,0.35194603009859887
Puxi_cohort,IBD,0.1259001161440186,0.3494541231126597
Puxi_cohort,IBD,0.22820121951219513,0.3383638211382114
Puxi_cohort,IBD,0.19980487804878047,0.3278048780487805
Puxi_cohort,IBD,0.10534614437053465,0.31278640059127866
Puxi_cohort,IBD,0.1325465512719643,0.3105691056910569
Puxi_cohort,IBD,0.20005606952621252,0.28270255116344273
Puxi_cohort,IBD,0.16246225319396052,0.27660859465737514
Puxi_cohort,IBD,0.19113558877524262,0.269761342774718
Puxi_cohort,IBD,0.22236871017358825,0.262184135354867
Puxi_cohort,IBD,-0.18222222222222223,0.2638482384823848
Puxi_cohort,IBD,0.15397881251539786,0.2604582409460458
Puxi_cohort,IBD,0.3584668989547039,0.2379094076655052
Puxi_cohort,control,-0.1640650406504065,0.23918699186991874
Puxi_cohort,control,-0.14939024390243902,0.23536585365853657
Puxi_cohort,IBD,0.19159230616696407,0.2311322625421376
Puxi_cohort,IBD,0.056861295885686176,0.22833210150283323
Puxi_cohort,control,-0.10431519699812379,0.22833020637898685
Puxi_cohort,IBD,0.15208034433285506,0.22333811573409856
Puxi_cohort,IBD,-0.006378986866791716,0.2155722326454034
Puxi_cohort,control,-0.26699186991869917,0.21149051490514906
Puxi_cohort,IBD,0.1620487804878049,0.2073170731707317
Puxi_cohort,control,-0.11422764227642276,0.19735772357723577
Puxi_cohort,IBD,0.041463414634146344,0.1983739837398374
Puxi_cohort,IBD,0.1938323521166246,0.1899635548079619
Puxi_cohort,IBD,0.24119241192411922,0.19121951219512198
Puxi_cohort,IBD,-0.08211382113821138,0.1874353288987435
Puxi_cohort,IBD,0.24480578139114723,0.18500451671183377
Puxi_cohort,control,-0.19774859287054408,0.18136335209505944
Puxi_cohort,IBD,0.0978861788617886,0.1718574108818011
Puxi_cohort,IBD,0.234337637494022,0.16690578670492584
Puxi_cohort,control,-0.2742385632811552,0.1574566193423128
Puxi_cohort,IBD,0.2097560975609756,0.15878674171357093
Puxi_cohort,IBD,0.08780487804878048,0.14974131559497408
Puxi_cohort,IBD,0.07265725288831834,0.13958065896448443
Puxi_cohort,IBD,0.1444444444444444,0.13703703703703704
Puxi_cohort,IBD,0.19684959349593495,0.13922764227642276
Puxi_cohort,IBD,0.16740897843761046,0.13545422410745844
Puxi_cohort,IBD,0.01056910569105691,0.12786400591278638
Puxi_cohort,control,-0.13104212860310416,0.12416851441241687
Puxi_cohort,control,-0.23447154471544712,0.12314363143631439
Puxi_cohort,IBD,0.033646028767979966,0.1059412132582864
Puxi_cohort,IBD,0.3494730502860585,0.09876543209876547
Puxi_cohort,control,-0.16585365853658537,0.0943089430894309
Puxi_cohort,IBD,0.2300116144018583,0.08943089430894309
Puxi_cohort,IBD,0.1306233062330623,0.08744354110207768
Puxi_cohort,IBD,0.24636768948334642,0.08764752163650665
