document_id,label,y0,y1
d0,Knotted protein|Bioinformatics|Computational biology,16,60
d1,BioUML|K-mer|Intl. Soc. for Comp. Biol.,60,101
d2,Folding@home,101,117
d3,Nuclear Overhauser Effect|Rotating wave approximation|Reactive empirical bond order,117,159
d4,Polarizability|Euler’s law of motion|Newton’s laws of motion,159,196
d5,X-ray standing waves|Point source|Photofragment-ion imaging,196,239
d6,BBKM theory|Fault flow|Effective field theory,239,298
d7,Molecular beam|McConnel equation|Faraday cup,298,406
