id,group,title,source
067,sample-lda6,Source-to-topic Sankey,OPC-coverage-figures-20260908/lda6/en/global/source_topic_sankey.png
068,sample-lda6,Circular correlation network,OPC-coverage-figures-20260908/lda6/en/global/topic_network_circular.png
069,sample-lda6,topic_similarity,OPC-coverage-figures-20260908/lda6/en/global/topic_similarity.png
070,sample-lda6,topic_table_1,OPC-coverage-figures-20260908/lda6/en/global/topic_table_1.png
071,sample-lda6,Word-cloud grid 1,OPC-coverage-figures-20260908/lda6/en/global/topic_wordcloud_grid_1.png
072,sample-lda6,Year-to-topic Sankey,OPC-coverage-figures-20260908/lda6/en/global/year_topic_sankey.png
073,sample-lda6,T1 · Topic 1 Word Cloud,OPC-coverage-figures-20260908/lda6/en/topic/topic_1/Topic 1 Word Cloud.png
074,sample-lda6,T1 · Topic 1 Word Distribution,OPC-coverage-figures-20260908/lda6/en/topic/topic_1/Topic 1 Word Distribution.png
075,sample-lda6,T1 · Topic Evolution,OPC-coverage-figures-20260908/lda6/en/topic/topic_1/Topic Evolution.png
076,sample-lda6,T2 · Topic 2 Word Cloud,OPC-coverage-figures-20260908/lda6/en/topic/topic_2/Topic 2 Word Cloud.png
077,sample-lda6,T2 · Topic 2 Word Distribution,OPC-coverage-figures-20260908/lda6/en/topic/topic_2/Topic 2 Word Distribution.png
078,sample-lda6,T2 · Topic Evolution,OPC-coverage-figures-20260908/lda6/en/topic/topic_2/Topic Evolution.png
079,sample-lda6,T3 · Topic 3 Word Cloud,OPC-coverage-figures-20260908/lda6/en/topic/topic_3/Topic 3 Word Cloud.png
080,sample-lda6,T3 · Topic 3 Word Distribution,OPC-coverage-figures-20260908/lda6/en/topic/topic_3/Topic 3 Word Distribution.png
081,sample-lda6,T3 · Topic Evolution,OPC-coverage-figures-20260908/lda6/en/topic/topic_3/Topic Evolution.png
082,sample-lda6,T4 · Topic 4 Word Cloud,OPC-coverage-figures-20260908/lda6/en/topic/topic_4/Topic 4 Word Cloud.png
083,sample-lda6,T4 · Topic 4 Word Distribution,OPC-coverage-figures-20260908/lda6/en/topic/topic_4/Topic 4 Word Distribution.png
084,sample-lda6,T4 · Topic Evolution,OPC-coverage-figures-20260908/lda6/en/topic/topic_4/Topic Evolution.png
085,sample-lda6,T5 · Topic 5 Word Cloud,OPC-coverage-figures-20260908/lda6/en/topic/topic_5/Topic 5 Word Cloud.png
086,sample-lda6,T5 · Topic 5 Word Distribution,OPC-coverage-figures-20260908/lda6/en/topic/topic_5/Topic 5 Word Distribution.png
087,sample-lda6,T5 · Topic Evolution,OPC-coverage-figures-20260908/lda6/en/topic/topic_5/Topic Evolution.png
